SCHNAME,PAN,Applications,SEN,LAC,Medical,Social,Feeder,Sibling,Staff,Religious,Distance,LAOffer,Vacancies,CutOff,AppealsHeard,Sucess
Buxton School,180,242,8,0,0,0,66,10,0,0,64,23,9,,,
Chingford Foundation School,270,,12,6,0,0,0,74,0,0,178,0,0,1.283,,
Connaught School for Girls,120,,1,0,0,0,0,25,0,0,94,0,0,1.126,,
Eden Girls' School Waltham Forest,124,,1,0,0,0,0,52,3,0,68,0,0,0.649,,
Frederick Bremer School,180,,10,3,0,0,0,26,1,0,140,0,0,1.755,,
George Mitchell School,120,,2,1,0,0,36,18,0,0,63,0,0,0.505,,
Heathcote School & Science College,240,,6,2,1,0,0,45,1,0,103,8,74,,,
Highams Park School,240,,1,4,0,0,0,102,0,0,133,0,0,0.981,,
Holy Family Catholic School,240,,1,0,0,0,0,0,0,118,55,0,65,,,
Kelmscott School,210,,3,0,0,0,0,40,0,0,100,42,25,,,
Lammas School and Sixth Form,180,,1,1,0,0,0,15,0,0,86,22,55,,,
Leytonstone School,210,,2,1,2,1,0,41,2,0,161,0,0,1.178,,
Norlington School and 6th Form,156,,1,0,0,0,0,28,0,0,127,0,0,1.749,,
South Chingford Foundation School,180,,1,2,0,0,0,23,0,0,55,21,78,,,
Walthamstow Academy,180,,6,0,0,0,0,37,0,0,137,0,0,0.797,,
Walthamstow School for Girls,180,,3,1,2,0,0,32,0,0,142,0,0,0.771,,
Willowfield School,180,,6,2,2,2,0,40,0,0,128,0,0,0.721,,
