SCHNAME,lon,lat
Big Creative Independent School,51.59401,-0.04258
Buxton School,51.55745,0.01653
Chingford Foundation School,51.6296,-0.00781
Connaught School for Girls,51.5657,0.0042
Eden Girls' School Waltham Forest,51.59401,-0.04258
Forest School,51.58558,0.00932
Frederick Bremer School,51.59468,-0.00364
George Mitchell School,51.56812,-0.01366
Heathcote School & Science College,51.62686,0.0116
Highams Park School,51.60847,0.00293
Holy Family Catholic School,51.58926,-0.00753
Kelmscott School,51.57557,-0.02837
Lammas School and Sixth Form,51.56588,-0.02565
Lantern of Knowledge Secondary School,51.5642,-0.00956
Leytonstone School,51.57443,0.00757
Norlington School and 6th Form,51.56745,-0.00306
Normanhurst School,51.63275,0.00714
Rushcroft Foundation School,51.60422,-0.01441
Walthamstow Academy,51.5995,-0.02438
Walthamstow School for Girls,51.58529,-0.01397
Willowfield Humanities College,51.58566,-0.03937
Belmont Park School,51.57658,-0.00797
Hornbeam Academy Special Academy,51.60105,-0.03371
Joseph Clarke School,51.60625,0.00285
Whitefield Schools,51.59523,-0.0032
